"date","team1","team2","map","event","matchid","teamid1","teamid2","eventid","score1","score2"
"28/11 15","fnatic (16)","Luminosity (7)","inferno","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26278","4991","6290","1615","16","7"
"28/11 15","fnatic (16)","Luminosity (11)","cbble","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26277","4991","6290","1615","16","11"
"28/11 15","Luminosity (16)","fnatic (9)","train","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26276","6290","4991","1615","16","9"
"28/11 15","TSM (17)","Luminosity (21)","inferno","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26274","5996","6290","1615","17","21"
"28/11 15","TSM (6)","Luminosity (16)","overpass","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26273","5996","6290","1615","6","16"
"28/11 15","TSM (16)","Luminosity (5)","mirage","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26272","5996","6290","1615","16","5"
"28/11 15","fnatic (16)","Virtus.pro (9)","cache","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26271","4991","5378","1615","16","9"
"28/11 15","Virtus.pro (10)","fnatic (16)","inferno","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26270","5378","4991","1615","10","16"
"28/11 15","fnatic (11)","Virtus.pro (16)","mirage","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26269","4991","5378","1615","11","16"
"27/11 15","NiP (6)","Luminosity (16)","cbble","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26268","4411","6290","1615","6","16"
"27/11 15","Luminosity (19)","NiP (21)","cache","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26266","6290","4411","1615","19","21"
"27/11 15","NiP (10)","Luminosity (16)","mirage","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26265","4411","6290","1615","10","16"
"27/11 15","Virtus.pro (16)","Liquid (8)","mirage","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26264","5378","5973","1615","16","8"
"27/11 15","Virtus.pro (16)","Liquid (6)","overpass","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26263","5378","5973","1615","16","6"
"27/11 15","EnVyUs (11)","Luminosity (16)","inferno","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26262","5991","6290","1615","11","16"
"27/11 15","Luminosity (8)","EnVyUs (16)","cbble","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26261","6290","5991","1615","8","16"
"27/11 15","EnVyUs (6)","Luminosity (16)","mirage","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26260","5991","6290","1615","6","16"
"27/11 15","Legacy (11)","Liquid (16)","cache","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26258","6468","5973","1615","11","16"
"27/11 15","Liquid (16)","Legacy (8)","cbble","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26257","5973","6468","1615","16","8"
"26/11 15","NiP (4)","fnatic (16)","dust2","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26256","4411","4991","1615","4","16"
"26/11 15","fnatic (16)","Luminosity (0)","dust2","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26255","4991","6290","1615","16","0"
"26/11 15","NiP (16)","EnVyUs (8)","mirage","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26254","4411","5991","1615","16","8"
"26/11 15","TSM (16)","Virtus.pro (13)","mirage","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26253","5996","5378","1615","16","13"
"26/11 15","Liquid (0)","TSM (16)","overpass","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26252","5973","5996","1615","0","16"
"26/11 15","Virtus.pro (16)","Legacy (12)","cbble","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26251","5378","6468","1615","16","12"
"23/11 15","Natus Vincere (16)","TSM (8)","cbble","IEM San Jose 2015","26247","4608","5996","1865","16","8"
"23/11 15","Natus Vincere (16)","TSM (10)","dust2","IEM San Jose 2015","26246","4608","5996","1865","16","10"
"22/11 15","Liquid (14)","Natus Vincere (16)","dust2","IEM San Jose 2015","26245","5973","4608","1865","14","16"
"22/11 15","Natus Vincere (16)","Liquid (7)","cbble","IEM San Jose 2015","26244","4608","5973","1865","16","7"
"22/11 15","E-frag.net (15)","BX3 (15)","inferno","Game Show Global eSports Cup","26250","6226","4606","2024","15","15"
"22/11 15","BX3 (5)","E-frag.net (16)","dust2","Game Show Global eSports Cup","26249","4606","6226","2024","5","16"
