"date","matchid","teamid1","teamid2","eventid","score1","score2","team1player1id","team1player2id","team1player3id","team1player4id","team1player5id","team2player1id","team2player2id","team2player3id","team2player4id","team2player5id","map","team1name","team2name","match"
"2016-03-29 00:00:00","29538","4608","5752","2027","16","9","483","7594","2757","3347","484","7440","7808","8349","203","8797","train","Natus Vincere","Cloud9","/match/2301827-natus-vincere-cloud9-mlg-columbus-2016"
"2016-03-29 00:00:00","29537","6665","6651","2027","16","10","7592","2469","4954","7398","429","334","964","499","735","7796","train","Astralis","Gambit","/match/2301826-astralis-gambit-mlg-columbus-2016"
"2016-03-29 00:00:00","29536","5974","5991","2027","16","8","8137","8523","8346","8347","8522","7429","8569","7167","7322","7168","cbble","CLG","EnVyUs","/match/2301825-envyus-clg-mlg-columbus-2016"
"2016-03-29 00:00:00","29535","4991","6301","2027","16","5","885","1146","3055","7528","3849","8508","8912","6453","8502","8794","train","fnatic","Splyce","/match/2301824-fnatic-splyce-mlg-columbus-2016"
"2016-03-29 00:00:00","29534","5973","6667","2027","16","11","7687","7433","8738","2644","7998","8183","629","8095","1045","8248","cache","Liquid","FaZe","/match/2301823-faze-liquid-mlg-columbus-2016"
"2016-03-29 00:00:00","29533","4494","6290","2027","13","16","3741","2730","7511","7499","7256","9216","8564","557","2023","9217","mirage","mousesports","Luminosity","/match/2301822-luminosity-mousesports-mlg-columbus-2016"
"2016-03-29 00:00:00","29531","5988","4411","2027","17","19","2131","1866","472","7403","338","29","39","884","37","7148","cache","FlipSid3","NiP","/match/2301818-nip-flipsid3-mlg-columbus-2016"
"2016-03-26 00:00:00","29515","5310","6226","2059","16","5","6904","798","8413","7749","339","2799","7834","8412","3183","5327","dust2","HellRaisers","E-frag.net","/match/2301763-hellraisers-e-fragnet-copenhagen-games-2016"
"2016-03-26 00:00:00","29511","6226","5310","2059","23","25","2799","3183","7834","8412","5327","798","6904","8413","339","7749","inferno","E-frag.net","HellRaisers","/match/2301763-hellraisers-e-fragnet-copenhagen-games-2016"
"2016-03-26 00:00:00","29458","6871","6242","2193","16","5","1572","7653","8852","1646","8851","1946","8633","1947","1944","2648","cbble","Secret fe","CLG Red","/match/2301776-secret-fe-clg-red-copenhagen-games-2016-female"
"2016-03-26 00:00:00","29457","6242","6871","2193","1","16","1944","2648","8633","1946","1947","1572","1646","8852","8851","7653","mirage","CLG Red","Secret fe","/match/2301776-secret-fe-clg-red-copenhagen-games-2016-female"
"2016-03-26 00:00:00","29530","6748","6871","2193","9","16","1648","8973","8974","8536","1638","8852","1646","7653","1572","8851","inferno","Exertus fe","Secret fe","/match/2301768-secret-fe-exertus-fe-copenhagen-games-2016-female"
"2016-03-26 00:00:00","29529","6748","6871","2193","14","16","8973","8974","8536","1648","1638","7653","8852","1646","1572","8851","train","Exertus fe","Secret fe","/match/2301768-secret-fe-exertus-fe-copenhagen-games-2016-female"
"2016-03-26 00:00:00","29528","6242","4811","2193","16","10","1947","1946","8633","1944","2648","1659","1560","7642","8960","1658","inferno","CLG Red","Millenium fe","/match/2301769-millenium-fe-clg-red-copenhagen-games-2016-female"
"2016-03-26 00:00:00","29527","4811","6242","2193","8","16","1659","1560","7642","8960","1658","8633","2648","1944","1947","1946","mirage","Millenium fe","CLG Red","/match/2301769-millenium-fe-clg-red-copenhagen-games-2016-female"
"2016-03-26 00:00:00","29526","4811","6242","2193","16","13","1659","7642","1560","8960","1658","1947","1946","8633","2648","1944","overpass","Millenium fe","CLG Red","/match/2301769-millenium-fe-clg-red-copenhagen-games-2016-female"
"2016-03-26 00:00:00","29456","5929","6226","2059","4","16","9857","7938","7321","7980","9353","5327","2799","7834","3183","8412","train","Space Soldiers","E-frag.net","/match/2301762-e-fragnet-space-soldiers-copenhagen-games-2016"
"2016-03-26 00:00:00","29454","5929","6226","2059","17","19","7938","9353","7321","9857","7980","2799","7834","8412","3183","5327","cache","Space Soldiers","E-frag.net","/match/2301762-e-fragnet-space-soldiers-copenhagen-games-2016"
"2016-03-26 00:00:00","29524","6241","6748","2193","16","19","8970","7656","7643","7645","1583","8536","1648","1638","8974","8973","cache","LGB fe","Exertus fe","/match/2301757-exertus-fe-lgb-fe-copenhagen-games-2016-female"
"2016-03-26 00:00:00","29523","6241","6748","2193","7","16","8970","7643","7656","1583","7645","1638","8974","8973","8536","1648","inferno","LGB fe","Exertus fe","/match/2301757-exertus-fe-lgb-fe-copenhagen-games-2016-female"
